,row_date,split,id,calls_answered,aht
121,2020-08-06,902,1290024012,13,13.4615384615385
122,2020-08-06,902,1290018936,4,44.0
123,2020-08-06,902,1290013092,7,40.5714285714286
124,2020-08-06,902,1290043815,5,45.0
125,2020-08-06,902,1290038523,8,18.25
126,2020-08-06,902,1290044364,7,26.428571428571402
127,2020-08-06,902,1290043821,7,39.0
128,2020-08-06,902,1290013089,7,45.28571428571429
129,2020-08-06,902,1290029955,2,39.5
130,2020-08-06,902,1290045066,11,25.3636363636364
131,2020-08-06,902,1290043722,7,22.857142857142897
132,2020-08-06,902,978007026,1,28.0
133,2020-08-06,902,1290043842,6,46.6666666666667
134,2020-08-06,902,1290034734,2,40.5
135,2020-08-06,904,1290045069,3,22.0
136,2020-08-06,904,1290043491,1,40.0
137,2020-08-06,904,639043557,4,16.0
138,2020-08-06,904,639043620,7,23.714285714285698
139,2020-08-06,904,1290043830,5,18.0
140,2020-08-06,904,1290024012,7,19.1428571428571
141,2020-08-06,904,1290018936,3,27.6666666666667
142,2020-08-06,904,1290013092,1,44.0
143,2020-08-06,904,1290043815,2,33.0
144,2020-08-06,904,1290038523,3,29.3333333333333
145,2020-08-06,904,1290044364,2,18.0
146,2020-08-06,904,1290043821,1,45.0
147,2020-08-06,904,1290029955,2,31.5
148,2020-08-06,904,1290045066,1,38.0
149,2020-08-06,904,1290043722,1,73.0
150,2020-08-06,904,1290043842,2,19.5
151,2020-08-06,904,1290034734,1,42.0
152,2020-08-06,909,1290043632,1,23.0
153,2020-08-06,909,1290044364,1,27.0
154,2020-08-06,909,1290043722,1,47.0
155,2020-08-07,902,1290045069,4,47.0
156,2020-08-07,902,1290043491,9,24.7777777777778
157,2020-08-07,902,639043557,8,33.125
158,2020-08-07,902,1290043632,1,17.0
159,2020-08-07,902,639043620,6,25.6666666666667
160,2020-08-07,902,1290043830,4,29.75
161,2020-08-07,902,1290024012,10,19.9
162,2020-08-07,902,1290018936,4,50.75
163,2020-08-07,902,1290013092,8,35.75
164,2020-08-07,902,1290043815,6,44.0
165,2020-08-07,902,1290038523,7,25.714285714285698
166,2020-08-07,902,1290044364,15,15.8666666666667
167,2020-08-07,902,1290043821,5,29.4
168,2020-08-07,902,1290013089,7,41.2857142857143
169,2020-08-07,902,1290029955,8,27.5
170,2020-08-07,902,1290045066,8,34.0
171,2020-08-07,902,1290043722,6,26.0
172,2020-08-07,902,1290034734,5,44.6
173,2020-08-07,904,1290045069,3,17.6666666666667
174,2020-08-07,904,1290043491,2,33.0
175,2020-08-07,904,639043557,1,5.0
176,2020-08-07,904,639043620,2,52.5
177,2020-08-07,904,1290043830,1,42.0
178,2020-08-07,904,1290024012,3,19.3333333333333
179,2020-08-07,904,1290018936,2,26.0
180,2020-08-07,904,1290043815,1,43.0
181,2020-08-07,904,1290038523,3,38.6666666666667
182,2020-08-07,904,1290044364,2,13.5
183,2020-08-07,904,1290043821,7,28.0
184,2020-08-07,904,1290013089,2,21.0
185,2020-08-07,904,1290029955,1,37.0
186,2020-08-07,904,1290045066,2,56.0
187,2020-08-07,904,1290043722,3,38.6666666666667
188,2020-08-07,904,1290034734,3,42.0
189,2020-08-07,909,639043557,1,31.0
190,2020-08-07,909,1290043830,1,23.0
191,2020-08-07,909,1290018936,1,28.0
192,2020-08-07,909,1290013092,1,50.0
193,2020-08-07,909,1290043815,1,46.0
194,2020-08-07,909,1290044364,1,16.0
195,2020-08-10,902,1290045069,9,35.3333333333333
196,2020-08-10,902,1290043491,11,29.9090909090909
197,2020-08-10,902,1290043632,6,31.5
198,2020-08-10,902,1290043839,3,18.0
199,2020-08-10,902,639043620,9,38.4444444444444
200,2020-08-10,902,1290024012,14,22.714285714285698
201,2020-08-10,902,1290018936,5,39.8
202,2020-08-10,902,1290013092,7,28.0
203,2020-08-10,902,1290043815,9,45.0
204,2020-08-10,902,1290038523,10,26.6
205,2020-08-10,902,1290038817,7,30.428571428571402
206,2020-08-10,902,1290044364,13,21.0
207,2020-08-10,902,1290043821,6,49.3333333333333
208,2020-08-10,902,1290028206,2,55.5
209,2020-08-10,902,1290043722,10,34.0
210,2020-08-10,902,978007026,4,35.25
211,2020-08-10,902,1290043842,9,36.4444444444444
212,2020-08-10,902,1290034734,7,42.2857142857143
213,2020-08-10,904,1290045069,1,36.0
214,2020-08-10,904,1290043491,3,15.0
215,2020-08-10,904,639043620,1,30.0
216,2020-08-10,904,1290024012,2,30.0
217,2020-08-10,904,1290018936,1,55.0
218,2020-08-10,904,1290013092,3,33.0
219,2020-08-10,904,1290043815,1,6.0
220,2020-08-10,904,1290038523,3,36.6666666666667
221,2020-08-10,904,1290038817,2,27.5
222,2020-08-10,904,1290044364,5,20.4
223,2020-08-10,904,1290043821,2,30.5
224,2020-08-10,904,1290028206,2,54.0
225,2020-08-10,904,978007026,2,43.0
